"","Close","High","Low","Open","Volume","within_minuteR","next_minute_return","updown_tplus1"
"169",558.24,558.69,558.24,558.64,1500,-0.000716281099315868,0.000393891112105681,3
"170",558.35,558.4947,557.67,558.15,8325,0.00035826243105997,-0.000161233977722873,1
"171",557.71,558.3,557.71,558.3,3100,-0.00105733829439973,-8.95535754864863e-05,1
"172",557.92,558.03,557.92,558,600,-0.000143379453969965,0.000519848359395935,3
"173",557.57,557.809,557.3,557.809,6122,-0.000428553888243913,-0.000198973048771133,1
"174",557.76,557.81,557.17,557.37,13560,0.000699470045467131,-0.000358763704136981,1
"175",558.0486,558.0486,557.8,557.8,2053,0.000445580169412144,7.17128617323536e-05,3
"176",558.5,558.5,558.03,558.03,2711,0.000841894132286325,-3.33309858314933e-05,1
"177",557.89,558.47,557.79,558.47,3550,-0.00103909142603835,-5.37167515818679e-05,1
"178",557.89,557.98,557.77,557.9,2665,-1.79245198473595e-05,1.7924519847388e-05,3
"179",557.75,558.025,557.73,557.99,3700,-0.000430207761130019,0.000179230742136661,3
"180",557.99,558.03,557.74,557.74,1893,0.000448137101599613,-1.7929340469637e-05,1
"181",558.2,558.2,557.94,558.1999,858,1.79147275176939e-07,0.000376100881174754,3
"182",558.14,558.87,558.14,558.32,8677,-0.000322447739390003,0.000214953606674428,3
"183",558.31,558.31,557.77,558.16,8288,0.000268704042029683,3.58326614747501e-05,3
"184",557.99,558.05,557.76,558.05,1750,-0.000107523027952013,-0.00046579957128704,1
"185",557.59,557.97,557.5,557.8,4115,-0.00037654991075991,-0.000340565880383333,1
"186",557.73,557.73,557.33,557.49,8972,0.00043040835656657,-0.000179359328959595,1
"187",558.55,558.6,557.835,557.89,4800,0.00118232968522214,0.000286836021399757,3
"188",558.595,559.12,558.59,558.66,8856,-0.000116356606277538,0.000196919111636076,3
"189",558.972,559.09,558.403,558.85,5605,0.000218281623522198,0.000456398309404625,3
"190",558.8,559,558.59,558.81,4328,-1.7895330214007e-05,-0.000289859742121962,1
"191",558.64,558.8,558.6,558.77,900,-0.000232680932847389,-5.36879121793947e-05,1
"192",559.13,559.13,558.57,558.685,3800,0.000796196192586824,8.05495268150224e-05,3
"193",558.52,559.14,558.52,559.12,9054,-0.00107369109487962,-1.78850883080866e-05,1
"194",558.48,558.535,558.1101,558.47,2300,1.79059044723591e-05,-8.95263163203791e-05,1
"195",557.91,558.3999,557.91,558.32,7588,-0.000734615658848904,-0.00028653295324972,1
"196",557.48,557.77,557.33,557.63,5270,-0.000269031756337453,-0.000501999042401082,1
"197",557.15,557.67,557.15,557.49,6971,-0.000610062460606174,1.79377023601233e-05,3
"198",557.6998,557.8899,557.15,557.15,4610,0.000986321286637562,0,2
"199",557.545,557.6,557.4,557.6,1900,-9.86418807324081e-05,-0.000178965333386236,1
"200",557.3,557.51,557.27,557.51,1500,-0.000376745817644209,-6.2777172447054e-05,1
"201",556.98,557.5,556.71,557.49,8185,-0.000915233313772841,0.000340871378178543,3
"202",557.27,557.49,556.95,557,4902,0.000484622228516042,3.5907287387847e-05,3
"203",557.55,557.75,557.25,557.298,4582,0.000452079573703149,5.02436818675165e-05,3
"204",557.5528,557.83,557.5,557.65,3750,-0.000174318070661325,0.00017934002917508,3
"205",557.4179,557.42,557.29,557.42,1300,-3.76736384706766e-06,-0.00023821209024661,1
"206",556.65,557.414,556.5,557.36,7587,-0.00127467454714728,-0.000103877193927285,1
"207",556.8675,557.02,556.66,556.785,4738,0.000148161118752858,0.000242492827442212,3
"208",556.88,557.2,556.79,557.05,2510,-0.000305225644914427,0.000327672384414303,3
"209",557.03,557.0973,556.85,556.85,900,0.000323194601872284,-5.38730213018199e-05,1
"210",556.84,556.9,556.67,556.9,1538,-0.000107745075256349,-0.000233407845358655,1
"211",557.42,557.42,556.8,556.87,5369,0.000987175770518025,5.38739887534158e-05,3
"212",557.55,557.95,557.38,557.55,12667,0,0.000233190131732845,3
"213",557.37,557.699,557.36,557.54,2523,-0.000304957353180867,-1.79357720009251e-05,1
"214",557.04,557.5594,557.04,557.5594,2410,-0.000931994109446868,0.000339752457549197,3
"215",557,557.15,557,557.15,1786,-0.000269263565778903,0.000197452858771646,3
"216",557.187,557.187,556.5,557,11410,0.0003356707657796,0,2
"217",557.08,557.2999,556.903,557.13,3215,-8.97496881800025e-05,-0.000102304819992427,1
"218",557.1735,557.2309,557.03,557.03,643,0.00025758310899828,-8.97577439097745e-05,1
"219",556.69,557.2,556.69,557.09,1958,-0.000718274735041546,-0.000149874783040563,1
"220",556.78,556.87,556.65,556.86,2069,-0.000143673000498685,0.000305329803458496,3
"221",556.66,556.8999,556.62,556.65,3400,1.79644483572548e-05,-0.000233512660141531,1
"222",556.6,556.888,556.58,556.888,6775,-0.000517293417481325,0.000409501886198406,3
"223",556.67,556.7399,556.34,556.7399,2468,-0.000125560227355442,0.000251315884279958,3
"224",556.18,556.78,556.18,556.65,4615,-0.000844693309752092,-3.59285739986929e-05,1
"225",556.12,556.412,556.12,556.22,2235,-0.000179801140423618,7.19165768020867e-05,3
"226",556.0743,556.33,556.0605,556.08,1439,-1.0250376229432e-05,-7.19295091120061e-05,1
"227",556.7686,556.79,556.12,556.1805,5685,0.00105683189776979,0.000190963438094938,3
"228",556.96,557.1581,556.64,556.8999,4580,0.000107913032973626,0.000235797278289474,3
"229",556.7582,556.94,556.73,556.86,2081,-0.000182827472258597,-0.00017956222777236,1
"230",556.48,556.72,556.48,556.72,2640,-0.000431189370676461,-6.86138265032454e-05,1
"231",557.075,557.075,556.485,556.485,2730,0.00105966459860043,8.98500851338589e-06,3
"232",556.73,556.98,556.73,556.98,2500,-0.00044894991371014,-0.000170548133135798,1
"233",557.29,557.29,556.9,556.98,3470,0.000556418117687755,0.000448949913710157,3
"234",557.14,557.36,557.01,557.01,1875,0.000233361756657562,-0.000502557670094498,1
"235",557.1182,557.725,557.1182,557.41,4915,-0.000523629651842434,0.000484500480519785,3
"236",557,557.34,557,557.268,1650,-0.000481033297497208,0.00026884755195692,3
"237",556.885,557.21,556.87,557.01,1874,-0.000224437672356371,1.79531602055049e-05,3
"238",557.27,557.27,557.1001,557.23,1000,7.17810677741681e-05,0.00061932567289274,3
"239",557.1,557.3156,557.09,557.17,1500,-0.000125642797691835,-0.00017946233133842,1
"240",557.69,557.69,557.2843,557.2843,3035,0.000727729810282721,0.000330765610535476,3
"241",557.865,557.865,557.68,557.68,3162,0.000331676448186415,-1.79312694448977e-05,1
"242",557.915,558.17,557.57,557.7,23328,0.000385437633344198,-0.000295814230821469,1
"243",557.7,558.08,557.7,557.7,10572,0,-0.000385437633344226,1
"244",558.192,558.2285,557.7,557.7,6293,0.000881805823289098,0,2
"245",557.7,558.069,557.55,557.95,10107,-0.00044816923620216,-0.000433636587086764,1
"246",557.72,558.2,557.7,557.85,14412,-0.000233064712368449,0.000268925643680568,3
"247",558.2,558.23,557.7,557.72,10664,0.000860276775401614,0,2
"248",558.29,558.315,557.77,557.98,11064,0.000555421193742164,-0.00039420165716812,1
"249",558.9475,559,558.13,558.2,11144,0.00133822993213617,-0.000161219536574177,1
"250",559.413,559.429,558.9,559.03,17257,0.000684880704642017,0.000147587943674636,3
"251",559.5,559.84,559.29,559.42,15755,0.000142995031166392,1.25130381388602e-05,3
"252",559.6,559.765,559.5,559.53,4508,0.000125097173860699,5.36178654855632e-05,3
"253",560.06,560.15,559.5001,559.6,19504,0.000821678055625571,0,2
"254",560,560.4,559.7916,560.08,7280,-0.000142846939747264,3.57098219905467e-05,3
"255",560.016,560.11,559.73,559.976,5904,7.14290816665187e-05,-4.28580612507091e-05,1
"256",560.2,560.24,560,560.05,4050,0.000267797368259813,6.07107081375384e-05,3
"257",560.3,560.3,559.925,560.21,7113,0.000160641136970693,1.78506082599275e-05,3
"258",560.39,560.65,560.12,560.32,6076,0.000124920809292366,3.56945262484117e-05,3
"259",560.11,560.39,560.04,560.39,1750,-0.00049977689572169,0,2
"260",560.02,560.401,560.0001,560.11,8089,-0.000160695633888392,0,2
"261",559.99,560.399,559.8,560.2258,5900,-0.000420990318977191,0.000367419368705076,3
"262",559.21,559.77,559.19,559.54,5949,-0.000589944151188181,-0.000803908826445256,1
"263",558.76,559.33,558.66,559.19,7164,-0.00076926521079673,-3.57653791168005e-05,1
"264",559.5688,559.59,558.84,558.84,5308,0.00130328034464307,0.000143163922936067,3
"265",559.38,559.6199,559.21,559.6199,4062,-0.000428775737469646,9.1316147197658e-05,3
"266",559.45,559.65,559.45,559.545,700,-0.000169795218438208,0.000294925935511287,3
"267",559.1729,559.65,559.1729,559.55,3500,-0.000674161607458628,0.000178731010305855,3
"268",559.1,559.3,558.9,559.3,4214,-0.000357653794942582,0.00022727417096486,3
"269",559.15,559.19,558.83,559.04,9152,0.000196746528505721,-0.000107321086908017,1
"270",558.8845,558.98,558.56,558.98,4675,-0.000170861495704301,-0.00030407913446532,1
"271",558.794,558.89,558.69,558.69,1200,0.00018613241943541,-0.00034807523250336,1
"272",559.07,559.27,559.068,559.068,3619,3.57737595908294e-06,0.000490221521953906,3
"273",559.095,559.3,558.905,559.11,5082,-2.68287120892569e-05,7.15448318106699e-05,3
"274",559.58,559.59,559,559.07,13723,0.000911813409618107,-4.47161197213973e-05,1
"275",558.88,559.61,558.88,559.59,7768,-0.00126959166605913,1.78703860902178e-05,3
"276",558.6899,559.3899,558.55,558.98,6330,-0.000519115718361489,0.00017891328121005,3
"277",558.66,558.852,558.6301,558.775,2700,-0.000205828527665641,0.000152309034788577,3
"278",558.65,559.3,558.65,558.66,5336,-1.79001351465242e-05,0,2
"279",558.51,558.83,558.51,558.52,6691,-1.79046220786293e-05,-0.000232730919352986,1
"280",558.235,558.65,558.14,558.532,9237,-0.000531892520108521,3.93897454221741e-05,3
"281",557.9,558.31,557.9,558.19,8632,-0.000519671364363947,-8.06144613822612e-05,1
"282",558,558.14,557.9,557.9625,6525,6.72065593854658e-05,0.000112020970442701,3
"283",557.99,558.26,557.98,558.02,3882,-5.37629591262095e-05,3.58416515871833e-05,3
"284",558.52,558.52,558.09,558.09,2225,0.000770188375987945,0.000179198624234111,3
"285",558.71,559.011,558.18,558.18,6219,0.000949063989796705,-0.000608937065471722,1
"286",558.28,558.95,558.28,558.9,4400,-0.00110993763520892,0.000340011277333542,3
"287",558.605,558.82,558.32,558.74,5408,-0.000241644256083609,0.000823620035457578,3
"288",558.9,558.93,558.51,558.785,2200,0.0002057824886365,0.000322179367198374,3
"289",558.29,558.81,558.29,558.81,5500,-0.000930982074224675,-0.000161043562631743,1
"290",557.72,558.34,557.68,558.24,12025,-0.00093193311164369,-8.95632003320434e-05,1
"291",558.1114,558.124,557.64,557.64,2780,0.000844991147756973,-0.000143451441933037,1
"292",558.555,558.71,558,558.33,2350,0.000402906302875622,0.000391601391337826,3
"293",558.77,558.77,558.03,558.37,6163,0.000716114394067005,-0.000331266650297472,1
"294",558.616,558.93,558.56,558.77,2714,-0.000275643333593018,0,2
"295",558.8385,558.94,558.6301,558.76,5830,0.000140479787918568,0.000257746722315937,3
"296",558.588,558.66,558.33,558.66,6300,-0.000128888125285797,-0.000319463518775294,1
"297",558.08,558.39,557.82,558.39,4376,-0.000555321697791196,-0.000354528024856126,1
"298",557.68,558,557.64,557.82,5117,-0.000251008517678508,-0.000465991584738548,1
"299",558.335,558.3556,557.67,557.94,4213,0.000707710943067777,0.000466108540017933,3
"300",558.63,558.9999,558.14,558.35,7189,0.000501351869979635,2.68652305723963e-05,3
"301",558.88,559.04,558.6265,558.63,6167,0.000447423296741156,0,2
"302",558.41,558.85,558.058,558.7476,3622,-0.00060439101927399,-0.000236930441981481,1
"303",558.05,558.76,558.05,558.31,8370,-0.00046579957128704,-0.000179095924255505,1
"304",558.45,558.79,558.08,558.35,8793,0.000179083095034537,0.000537441790077428,3
"305",558.35,558.44,558.08,558.2,2101,0.000268684789579242,-0.00044776788461378,1
"306",558.3,558.3,558.21,558.2674,900,5.83932506166794e-05,-0.000147946826103033,1
"307",558.16,558.42,557.95,558.2903,7840,-0.000233418362808709,-1.73743225248668e-05,1
"308",558.69,558.7,558.1585,558.1585,2146,0.000951785385616154,-2.68740507299026e-06,1
"309",558.71,559.14,558.46,558.69,5850,3.57973867946367e-05,0,2
"310",559.125,559.15,558.8653,559.09,7626,6.25997684011996e-05,0.000679906986292029,3
"311",559.18,559.29,558.9,559.15,4666,5.36514266936219e-05,4.4711721185099e-05,3
"312",559.33,559.33,558.8,558.94,6608,0.000697505997320327,-0.000429292032493301,1
"313",558.76,559.57,558.76,559.33,9050,-0.00101959600636787,0,2
"314",558.98,558.98,558.71,558.9028,1806,0.000138118235870152,0.000255533244511608,3
"315",558.93,559.09,558.84,558.9,4542,5.36754247196406e-05,-0.00014312806407951,1
"316",559.18,559.62,558.81,559.0099,7984,0.000304241705835459,0.000142941494683389,3
"317",559.41,559.42,559.12,559.16,600,0.00044699930118399,-3.57672979632326e-05,1
"318",559.6599,559.6599,559.249,559.41,7995,0.000446620902151,0,2
"319",559.07,559.647,559.06,559.5895,4921,-0.000928790283988337,-0.000125798593401571,1
"320",559.16,559.2555,559.046,559.046,500,0.000203898030228479,-4.29293561736032e-05,1
"321",559.16,559.35,559.16,559.3,2190,-0.000250344224614504,0.00025034422461445,3
"322",559.3,559.47,559.09,559.35,4806,-8.93934653973127e-05,0.000339737690011846,3
"323",559.54,559.54,559.28,559.41,4707,0.000232360696340242,0.000196655076569416,3
"324",560.04,560.18,559.402,559.54,11324,0.000893192149272628,0,2
"325",560,560.17,559.7,559.936,6953,0.000114292245395572,-0.0001857182659251,1
"326",559.9315,560.1,559.75,559.9,5136,5.62584638998275e-05,-0.000178587374347358,1
"327",559.5155,559.99,559.5122,559.72,5850,-0.000365428012738588,-0.000377796131234757,1
"328",559.75,559.78,559.47,559.605,1613,0.000259077773916331,0.000159947030173792,3
"329",559.27,559.68,559.0201,559.51,8380,-0.00042903878096049,-0.000428854785623232,1
"330",559.07,559.55,558.91,559.06,16014,1.78870077726117e-05,-0.000375559991180261,1
"331",559.64,559.78,559.01,559.06,14333,0.00103691794398489,-1.78870077725883e-05,1
"332",559.68,560,559.57,559.77,11786,-0.000160793247030132,0.000232265212182192,3
"333",559.456,559.96,559.35,559.86,19891,-0.000721869458747242,0.000321560643748468,3
"334",559.31,559.66,558.82,559.25,16276,0.000107280789689404,-0.000368282644999476,1
"335",559.0101,559.66,558.77,559.23,13084,-0.00039329657885562,-0.000143043610664471,1
"336",559.18,559.41,558.71,559.01,8926,0.000304062818143034,-1.78887660364642e-07,1
"337",558.87,559.01,558.55,558.9403,6745,-0.000125781628765875,-0.000428755302398139,1
"338",558.988,559.31,558.67,558.8101,9375,0.000318304354788367,-0.000107186305021167,1
"339",558.622,558.91,558.4,558.68,4000,-0.000103821527307927,-0.000551147581923604,1
"340",557.98,558.63,557.8,558.61,11090,-0.00112843580338672,-2.14816618220631e-05,1
"341",558.03,558.08,557.32,558,15693,5.37619956581787e-05,3.58429362572482e-05,3
